16.06,0
17.69,5.751
19.12,5.815
19.75,5.879
19.69,5.944
19.12,6.009
18.25,6.074
17.37,6.139
16.25,6.204
15.38,6.267
14.5,6.333
13.75,6.398
13.56,6.463
13.88,6.528
14.38,6.593
14.81,6.658
14.75,6.722
14.25,6.787
13.69,6.852
13.25,6.917
13.25,6.981
13.56,7.046
13.81,7.11
13.94,7.175
13.88,7.24
13.63,7.306
13.44,7.37
13.44,7.435
13.63,7.499
13.75,7.565
13.63,7.629
13.38,7.695
13.31,7.759
13.38,7.823
13.5,7.887
13.69,7.953
13.75,8.017
13.81,8.082
13.88,8.147
14.06,8.212
13.13,8.276
10,8.341
6.06,8.406
-1.69,8.47
-11.75,8.536
-25.87,8.601
-40.75,8.668
-57.38,8.732
-69.94,8.799
-82.19,8.864
-90.5,8.93
-97.31,8.996
-101.06,9.063
-101.62,9.129
-99.44,9.195
-95.44,9.262
-88.44,9.327
-80.62,9.393
-69.81,9.459
-57.25,9.525
-45.38,9.59
-30.75,9.656
-17.81,9.722
-2.5,9.787
10.38,9.851
25.06,9.916
37.06,9.98
50.06,10.045
60,10.112
70.12,10.177
77.31,10.243
84,10.307
88.12,10.375
91.06,10.439
92,10.505
91.06,10.571
88.31,10.637
84.69,10.703
78.81,10.769
72.56,10.834
63.94,10.901
54.06,10.967
44.75,11.032
33.13,11.098
22.62,11.164
10.06,11.23
-0.75,11.295
-12.94,11.361
-23,11.428
-33.88,11.495
-43.44,11.561
-50.31,11.629
-56.75,11.696
-61.13,11.762
-63.38,11.83
-63.81,11.896
-62.13,11.963
-59.44,12.03
-54.94,12.097
-49,12.164
-43.06,12.231
-35.19,12.298
-26.56,12.364
-18.75,12.432
-9.44,12.497
0,12.561
7.94,12.626
16.94,12.692
24.19,12.759
31.87,12.824
37.75,12.89
43.63,12.955
47.56,13.022
50.81,13.087
52.5,13.153
53.31,13.219
52.75,13.285
51.5,13.35
49,13.415
46,13.481
41.5,13.547
36.94,13.614
31,13.68
24.44,13.746
18.56,13.812
11.44,13.878
5.31,13.941
-1.81,14.007
-7.69,14.073
-14.19,14.14
-20.31,14.206
-24.87,14.274
-29.37,14.341
-32.69,14.407
-34.56,14.475
-35.38,14.541
-34.81,14.608
-33.5,14.675
-31.12,14.742
-27.94,14.809
-24.75,14.876
-20.5,14.943
-15.75,15.009
-11.5,15.077
-6.31,15.142
-1.75,15.209
3.38,15.273
8.25,15.338
12.19,15.404
16.56,15.469
19.87,15.536
23,15.601
25.12,15.668
26.94,15.733
27.94,15.799
28.5,15.864
28.37,15.931
27.69,15.996
26.56,16.062
25.25,16.129
23.37,16.193
21.44,16.259
18.69,16.324
16.06,16.391
12.81,16.456
10,16.522
6.63,16.587
3.38,16.652
0.63,16.717
-1.81,16.783
-4.56,16.848
-7.13,16.914
-8.88,16.98
-10.38,17.047
-11.13,17.114
-11.19,17.181
-10.56,17.248
-9.81,17.313
-8.69,17.379
-7.5,17.445
-5.75,17.51
-4,17.575
-2.5,17.642
-0.94,17.708
0.56,17.773
2.38,17.837
3.88,17.901
5.25,17.966
6.44,18.031
7.56,18.096
8.88,18.16
9.69,18.226
10.31,18.291
10.69,18.357
10.94,18.423
11.06,18.489
11.13,18.554
10.94,18.62
10.75,18.686
10.56,18.752
10.38,18.818
10.13,18.884
10,18.95
9.94,19.014
9.88,19.079
10,19.145
10.13,19.211
10.19,19.276
10.19,19.342
10.19,19.407
10.13,19.473
10.13,19.539
